Company name,NPRI_Report_ReportYear,Substance name,Current year quantity,Last year quantity,Two years ago quantity,Three years ago quantity,Number of employees,Group,Growth,Province,Price
Suncor Enery Products Partenership ,2021,Selenium (and its compounds),0,0.195455561,0,0,1065,On-site Disposal,1,Alberta,1
Suncor Enery Products Partenership ,2021,Speciated VOCs (62 substances),0,0,0,0,8,Releases to Air,1,Alberta,1
Suncor Enery Products Partenership ,2021,Styrene,0,0.0006,0,0,482,Sum of release to all media (<1tonne),1,Ontario,1
Suncor Enery Products Partenership ,2021,Sulphur dioxide,0,5671.85158,0,0,1065,Releases to Air,1,Alberta,1
Suncor Enery Products Partenership ,2021,Sulphuric acid,0,14609.81555,0,0,411,Off-site Transfers for Recycling,1,Quebec,1
Suncor Enery Products Partenership ,2021,Tetrachloroethylene,0,0.000411,0,0,411,Off-site Transfers for Treatment Prior to Final Disposal,1,Quebec,1
Suncor Enery Products Partenership ,2021,Toluene,0,61.538395,0,0,1065,On-site Disposal,1,Alberta,1
Suncor Enery Products Partenership ,2021,Total particulate matter,0,610.16101,0,0,1065,Releases to Air,1,Alberta,1
Suncor Enery Products Partenership ,2021,Total reduced sulphur (expressed as hydrogen sulphide),0,6.82288,0,0,1065,Releases to Air,1,Alberta,1
Suncor Enery Products Partenership ,2021,Vanadium (and its compounds),0,0.644427,0,0,411,Sum of release to all media (<1tonne),1,Quebec,1
Suncor Enery Products Partenership ,2021,Volatile Organic Compounds (VOCs),1764.572698,3253.453598,0,0,8,Releases to Air,1,Alberta,1
Suncor Enery Products Partenership ,2021,Xylene (all isomers),4.91545,63.385284,0,0,1065,On-site Disposal,1,Alberta,1
Suncor Enery Products Partenership ,2021,n-Hexane,0,41.70547,0,0,1065,Releases to Air,1,Alberta,1
Sunshine Oil Sands Ltd,2021,Carbon monoxide,0,0,0,0,42,Releases to Air,1,Alberta,1
Sunshine Oil Sands Ltd,2021,Ethylene glycol,0,0,0,0,42,Sum of release to all media (<1tonne),1,Alberta,1
Sunshine Oil Sands Ltd,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,42,Releases to Air,1,Alberta,1
Sunshine Oil Sands Ltd,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,42,Releases to Air,1,Alberta,1
Sunshine Oil Sands Ltd,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,42,Releases to Air,1,Alberta,1
Superb Operating Company Ltd.,2021,Carbon monoxide,59.9622,43.6442,0.26,0.64,3,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,Hydrogen sulphide,0.0953,0.405512,0,0,5,Releases to Land,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,Nitrogen oxides (expressed as nitrogen dioxide),41.4777,30.3878,0.022,0.055,5,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,PM10 - Particulate Matter <= 10 Micrometers,3.1251,2.518,0,0.0002,3,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,3.1251,2.518,0,0.0002,3,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,Speciated VOCs (62 substances),0.0001,0.0001,0,0,5,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,Sulphur dioxide,178.9317,140.5765,0,33.58,5,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,Total particulate matter,3.1669,2.544,0,0.0002,3,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,Total reduced sulphur (expressed as hydrogen sulphide),0.0953,0.0749,0,0,5,Releases to Air,1,Saskatchewan,1
Superb Operating Company Ltd.,2021,Volatile Organic Compounds (VOCs),3.4963,2.8228,3.8,4.83,3,Releases to Air,1,Saskatchewan,1
Superior Elevator ULC,2021,PM10 - Particulate Matter <= 10 Micrometers,30.621,40.038,30.413,32.901,50,Releases to Air,1,Ontario,1
Superior Elevator ULC,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,5.352,6.987,5.299,5.735,50,Releases to Air,1,Ontario,1
Superior Elevator ULC,2021,Selenium (and its compounds),4.80E-05,6.30E-05,4.80E-05,5.20E-05,50,Releases to Air,1,Ontario,1
Superior Elevator ULC,2021,Total particulate matter,120.869,157.989,120.055,129.866,50,Releases to Air,1,Ontario,1
Surge Energy Inc.,2021,Carbon monoxide,933.662344,852.6494,651.504628,658.484,9,Releases to Air,1,Alberta,1
Surge Energy Inc.,2021,Nitrogen oxides (expressed as nitrogen dioxide),567.226056,550.7,372.9314,408.0181,1,Releases to Air,1,Alberta,1
Surge Energy Inc.,2021,PM10 - Particulate Matter <= 10 Micrometers,134.363237,69.9418,48.434628,37.8947,1,Releases to Air,1,Saskatchewan,1
Surge Energy Inc.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,134.363237,69.9418,48.434628,37.8947,1,Releases to Air,1,Saskatchewan,1
Surge Energy Inc.,2021,Speciated VOCs (62 substances),0,0,0,0,1,Releases to Air,1,Saskatchewan,1
Surge Energy Inc.,2021,Sulphur dioxide,1569.8041,437.6881,388.301615,283.8405,1,Releases to Air,1,Saskatchewan,1
Surge Energy Inc.,2021,Total particulate matter,134.363337,70.0418,49.136816,38.2947,1,Releases to Air,1,Saskatchewan,1
Surge Energy Inc.,2021,Volatile Organic Compounds (VOCs),467.702037,3354.895962,1752.393544,928.9937,2,Releases to Air,1,Alberta,1
Sword Energy Inc.,2021,Carbon monoxide,0,0,0,0,1,Releases to Air,1,Alberta,1
Sword Energy Inc.,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,1,Releases to Air,1,Alberta,1
Sword Energy Inc.,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,2,Releases to Air,1,Alberta,1
Sword Energy Inc.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,2,Releases to Air,1,Alberta,1
Sword Energy Inc.,2021,Sulphur dioxide,0,0,0,0,1,Releases to Air,1,Alberta,1
Sydco Energy Inc.,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,127.22,1,Releases to Air,1,Alberta,1
Sydco Energy Inc.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,2,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,"1,2,4-Trimethylbenzene",75.836,80.188,88.024,72.362,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,"1,3-Butadiene",0,0.989,1.074,1.321,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,1-Nitropyrene,0,0,2.00E-06,2.00E-06,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,"7,12-Dimethylbenz[a]anthracene",0,0,3.00E-06,3.00E-06,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Acenaphthene,2.269642,5.219876,5.833064,5.720524,780,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Acenaphthylene,0.000728,0.331083,0.37758,0.461563,780,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Acetaldehyde,0,0,0,0,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Ammonia (total),2697.3633,2502.8382,2742.2831,1736.1968,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Antimony (and its compounds),0,0,0,0.03,780,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Arsenic (and its compounds),56.3526372,62.1280801,70.6579245,50.7781325,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Benz[a]anthracene,0.7497,2.092662,2.39237,2.39228,780,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Benzene,62.919,56.454,61.665,52.088,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Benzo[a]pyrene,1.458803,2.156476,2.40777,2.233828,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Benzo[b]fluoranthene,0.000132,1.43787,1.640209,1.806936,780,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Benzo[e]pyrene,3.402708,5.430696,5.929009,5.618452,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Benzo[ghi]perylene,1.433075,2.248472,2.495652,2.341534,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Benzo[j]fluoranthene,0,1.43774,1.64008,1.806936,780,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Benzo[k]fluoranthene,0.000101,0.0001,9.90E-05,0.000846,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Cadmium (and its compounds),1.6245954,1.704055,1.8412501,1.4786253,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Carbon disulphide,21.057,13.897,15.068,23.08,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Carbon monoxide,9726.747,7131.742,5415.513,8048.593,3700,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Carbonyl sulphide,19.97,16.138,16.276,22.151,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Chromium (and its compounds),274.1223,447.723719,478.5276,458.1038,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Chrysene,0.000109,0.000107,0.000106,0,3802,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Cobalt (and its compounds),189.6983309,251.2579756,258.4324823,237.1040618,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Copper (and its compounds),130.583,127.4429,139.4433,116.5847,5000,Off-site Transfers for Recycling,1,Alberta,1
Syncrude Canada Ltd.,2021,Cumene,14.87,11.454,10.675,12.233,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Cyclohexane,93.043,79.95,71.932,83.933,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,"Dibenz[a,h]acridine",0,0,4.00E-06,4.00E-06,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,"Dibenz[a,h]anthracene",0.536839,0.930494,1.065078,1.001198,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,"Dibenz[a,j]acridine",0,0,0.000308,0.000308,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,"Dibenzo[a,l]pyrene",0,0,0,0,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Ethylbenzene,228.718,198.943,222.342,187.355,5000,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Ethylene,38.969,32.637,40.354,42.724,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Ethylene glycol,0,0,0,0,3802,Off-site Transfers for Recycling,1,Alberta,1
Syncrude Canada Ltd.,2021,Fluoranthene,1.854004,2.773755,3.050055,2.836298,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Fluorene,0.819356,1.289316,1.470861,1.340372,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Hydrogen sulphide,22.436,28.065,20.428,21.035,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,"Indeno[1,2,3-cd]pyrene",0.687011,1.045087,1.199402,1.124427,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Isoprene,0.467557,0.427968,0.220035,0.060039,3700,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Isopropyl alcohol,0,8.019,6.426,9.603,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Lead (and its compounds),172.386766,218.7989663,227.9939612,211.4934442,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Manganese (and its compounds),9143.6176,10555.7717,11216.6348,9997.6206,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Mercury (and its compounds),1.0881929,0.967022227,0.995324,0.5524235,5000,Off-site Transfers for Recycling,1,Alberta,1
Syncrude Canada Ltd.,2021,Methanol,0,0,0,0,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Methyl ethyl ketone,11.103,7.46,8.965,5.734,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Methyl isobutyl ketone,0,0,0,0,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Molybdenum trioxide,164.338,145.265,315.443,124.469,5000,Off-site Transfers for Recycling,1,Alberta,1
Syncrude Canada Ltd.,2021,Naphthalene,3.211,13.137,13.574,8.478,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Naphthenic acid fraction compounds (and their salts),0,0,0,0,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Nickel (and its compounds),477.9985,573.851818,630.2266,503.3437,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Nitrogen oxides (expressed as nitrogen dioxide),12957.461,16160.789,13910.364,14582.373,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,PM10 - Particulate Matter <= 10 Micrometers,4501.43,5650.53,6879.659,5684.446,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,961.03,975.538,1001.328,925.271,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Perylene,2.71827,4.727137,5.17856,4.966108,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Phenanthrene,12.053403,22.851559,25.544788,24.441099,780,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Phenol (and its salts),0,9.123,11.3,10.31,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Phosphorus (total),4087.211,4150.95168,4250.3112,3757.4218,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Propylene,43.185,33.297,49.609,46.802,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Pyrene,5.841367,10.017497,10.997948,10.490967,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Quinoline,0.00018,0.000265,0.000269,0,3802,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Selenium (and its compounds),0.3912217,0.778107,1.2107651,1.4947645,5000,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Speciated VOCs (62 substances),0,0,0,0,3802,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Styrene,0,0.486,0.336,0.646,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Sulphur dioxide,25273.046,22545.898,27672.683,31581.407,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Sulphuric acid,137.02,124.463,134.427,160.189,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Tetrachloroethylene,0,0,0,0,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Toluene,625.805,347.081,662.818,473.189,5000,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Total particulate matter,12516.179,16558.1,22464.678,18140.076,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Total reduced sulphur (expressed as hydrogen sulphide),59.911,50.198,44.923,53.447,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Vanadium (and its compounds),793.9252,801.7672,830.4438,444.7044,3802,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,Volatile Organic Compounds (VOCs),8272.152,9458.956,6876.847,12086.133,5000,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Xylene (all isomers),866.421,904.043,1142.752,702.615,3725,Releases to Air,1,Alberta,1
Syncrude Canada Ltd.,2021,Zinc (and its compounds),374.7831,401.0279,432.7072,365.7913,3725,On-site Disposal,1,Alberta,1
Syncrude Canada Ltd.,2021,n-Hexane,239.388,77.972,69.718,77.282,3700,Releases to Air,1,Alberta,1
TALISMAN ENERGY,2021,Carbon monoxide,0,0,0,0,1,Releases to Air,1,Alberta,1
TALISMAN ENERGY,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,1,Releases to Air,1,Alberta,1
TALISMAN ENERGY,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,1,Releases to Air,1,Alberta,1
TALISMAN ENERGY,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,1,Releases to Air,1,Alberta,1
TALISMAN ENERGY,2021,Volatile Organic Compounds (VOCs),0,0,0,0,1,Releases to Air,1,Alberta,1
TAQA NORTH LTD.,2021,Carbon monoxide,0,0,0,0,1,Releases to Air,1,Alberta,1
TAQA NORTH LTD.,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,1,Releases to Air,1,Alberta,1
TAQA NORTH LTD.,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,1,Releases to Air,1,Alberta,1
TAQA NORTH LTD.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,1,Releases to Air,1,Alberta,1
TAQA North Ltd.,2021,Carbon monoxide,0,0,1077.641511,809.09601,1,Releases to Air,1,Alberta,1
TAQA North Ltd.,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,2572.717872,1776.25377,1,Releases to Air,1,Alberta,1
TAQA North Ltd.,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,17.135512,18.00186,1,Releases to Air,1,British Columbia,1
TAQA North Ltd.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,17.135512,18.00186,1,Releases to Air,1,British Columbia,1
TAQA North Ltd.,2021,Sulphur dioxide,0,0,334.228854,654.175973,1,Releases to Air,1,Alberta,1
TAQA North Ltd.,2021,Total particulate matter,0,0,17.135512,18.00186,1,Releases to Air,1,Alberta,1
TAQA North Ltd.,2021,Volatile Organic Compounds (VOCs),0,0,304.211224,324.64677,1,Releases to Air,1,Alberta,1
TEML Saskatchewan Pipelines Limited,2021,Volatile Organic Compounds (VOCs),0,0,0,123.771,0,Releases to Air,1,Saskatchewan,1
TEML Saskatchewan Pipelines Limited,2021,n-Hexane,0,0,0,9.7912,0,Releases to Air,1,Saskatchewan,1
TEML Westspur Pipelines Limited,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,53.818,0,Releases to Air,1,Saskatchewan,1
TEML Westspur Pipelines Limited,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,5.343,0,Releases to Air,1,Saskatchewan,1
TEML Westspur Pipelines Limited,2021,Total particulate matter,0,0,0,211.04,0,Releases to Air,1,Saskatchewan,1
TEML Westspur Pipelines Limited,2021,Volatile Organic Compounds (VOCs),0,0,0,1178.226,16,Releases to Air,1,Saskatchewan,1
TEML Westspur Pipelines Limited,2021,n-Hexane,0,0,0,87.94,16,Releases to Air,1,Saskatchewan,1
TEML Weyburn Pipelines Limited,2021,Volatile Organic Compounds (VOCs),0,0,0,20.429,0,Releases to Air,1,Saskatchewan,1
TEML Weyburn Pipelines Limited,2021,n-Hexane,0,0,0,1.5645,0,Releases to Air,1,Saskatchewan,1
TODD ENERGY CANADA LIMITED,2021,Carbon monoxide,69.4182,94.88,23.888,0,1,Releases to Air,1,British Columbia,1
TODD ENERGY CANADA LIMITED,2021,Nitrogen oxides (expressed as nitrogen dioxide),103.5212,110.4,287.775,0,1,Releases to Air,1,British Columbia,1
TODD ENERGY CANADA LIMITED,2021,PM10 - Particulate Matter <= 10 Micrometers,0.18595,0.1951,0.5498,0,1,Releases to Air,1,British Columbia,1
TODD ENERGY CANADA LIMITED,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0.1859,0.1951,0.5498,0,1,Releases to Air,1,British Columbia,1
TODD ENERGY CANADA LIMITED,2021,Speciated VOCs (62 substances),0,0,0,0,10,Releases to Air,1,British Columbia,1
TODD ENERGY CANADA LIMITED,2021,Sulphur dioxide,0.0842,0.072,0,0,10,Releases to Air,1,British Columbia,1
TODD ENERGY CANADA LIMITED,2021,Total particulate matter,1.3699,1.299,0.5498,0,10,Releases to Air,1,British Columbia,1
TODD ENERGY CANADA LIMITED,2021,Volatile Organic Compounds (VOCs),16.301292,15.311,8.5302,0,10,Releases to Air,1,British Columbia,1
TORC Oil & Gas Inc.,2021,Carbon monoxide,0,0,0,0,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Inc.,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Inc.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Inc.,2021,Sulphur dioxide,0,0,0,0,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Ltd.,2021,Carbon monoxide,0,887.616,902.787,833.436,1,Releases to Air,1,Alberta,1
TORC Oil & Gas Ltd.,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,360.465,356.62,275.899,1,Releases to Air,1,Alberta,1
TORC Oil & Gas Ltd.,2021,PM10 - Particulate Matter <= 10 Micrometers,0,172.815,188.868,202.711,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Ltd.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,172.815,188.868,202.711,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Ltd.,2021,Sulphur dioxide,0,349.855,335.928,419.526,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Ltd.,2021,Total particulate matter,0,172.815,188.868,202.711,1,Releases to Air,1,Saskatchewan,1
TORC Oil & Gas Ltd.,2021,Volatile Organic Compounds (VOCs),0,905.027,10287.082,428.473,1,Releases to Air,1,Alberta,1
TRT ETGO du Québec,2021,Carbon monoxide,0,0,0,0,140,Releases to Air,1,Quebec,1
TRT ETGO du Québec,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,140,Releases to Air,1,Quebec,1
TRT ETGO du Québec,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,140,Releases to Air,1,Quebec,1
TRT ETGO du Québec,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,140,Releases to Air,1,Quebec,1
TRT ETGO du Québec,2021,Total particulate matter,0,0,0,0,140,Releases to Air,1,Quebec,1
TRT ETGO du Québec,2021,Volatile Organic Compounds (VOCs),0,0,0,0,140,Releases to Air,1,Quebec,1
Tahoe Energy Ltd.,2021,Carbon monoxide,0,3.62111,0,0,2,Releases to Air,1,Alberta,1
Tahoe Energy Ltd.,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,210.7026,0,0,2,Releases to Air,1,Alberta,1
Tahoe Energy Ltd.,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0.1429,0,0,2,Releases to Air,1,Alberta,1
Tahoe Energy Ltd.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0.142271,0,0,2,Releases to Air,1,Alberta,1
Tahoe Energy Ltd.,2021,Sulphur dioxide,0,0.018064,0,0,2,Releases to Air,1,Alberta,1
Tahoe Energy Ltd.,2021,Total particulate matter,0,0.1583,0,0,2,Releases to Air,1,Alberta,1
Tahoe Energy Ltd.,2021,Volatile Organic Compounds (VOCs),0,16.6804,0,0,2,Releases to Air,1,Alberta,1
Talisman Energy,2021,Asbestos (friable form only),0,0,0,0,35,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
Talisman Energy,2021,Benzene,0,0,0,5.065,35,Off-site Disposal,1,Alberta,1
Talisman Energy,2021,Carbon monoxide,0,0,0,199.17,25,Releases to Air,1,Alberta,1
Talisman Energy,2021,Carbonyl sulphide,0,0,0,0,45,Releases to Air,1,Alberta,1
Talisman Energy,2021,Cyclohexane,0,0,0,1.121,35,Off-site Disposal,1,Alberta,1
Talisman Energy,2021,Ethylene glycol,0,0,0,2.118,45,Off-site Disposal,1,Alberta,1
Talisman Energy,2021,Formaldehyde,0,0,0,12.544,25,Releases to Air,1,Alberta,1
Talisman Energy,2021,Hydrogen sulphide,0,0,0,0.481,35,Releases to Air,1,Alberta,1
Talisman Energy,2021,Methanol,0,0,0,363.876,45,Off-site Disposal,1,Alberta,1
Talisman Energy,2021,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,680.173,35,Releases to Air,1,Alberta,1
Talisman Energy,2021,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,19.062,25,Releases to Air,1,Alberta,1
Talisman Energy,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,19.062,25,Releases to Air,1,Alberta,1
Talisman Energy,2021,Sulphur dioxide,0,0,0,384.849,45,Releases to Air,1,Alberta,1
Talisman Energy,2021,Sulphuric acid,0,0,0,0,45,Off-site Disposal,1,Alberta,1
Talisman Energy,2021,Toluene,0,0,0,7.634,35,Off-site Disposal,1,Alberta,1
Talisman Energy,2021,Total reduced sulphur (expressed as hydrogen sulphide),0,0,0,0.406,45,Releases to Air,1,Alberta,1
Talisman Energy,2021,Volatile Organic Compounds (VOCs),0,0,0,147.326,25,Releases to Air,1,Alberta,1
Talisman Energy,2021,Xylene (all isomers),0,0,0,6.886,35,Off-site Disposal,1,Alberta,1
Talisman Energy,2021,n-Hexane,0,0,0,5.049,35,Off-site Disposal,1,Alberta,1
Tallahassee Exploration Inc.,2021,Nitrogen oxides (expressed as nitrogen dioxide),35.75,24.51,0,0,10,Releases to Air,1,Alberta,1
Tallahassee Exploration Inc.,2021,PM10 - Particulate Matter <= 10 Micrometers,0.76,0.55,0,0,10,Releases to Air,1,Alberta,1
Tallahassee Exploration Inc.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,0.76,0.55,0,0,10,Releases to Air,1,Alberta,1
Tamarack Acquisition Corp.,2021,Carbon monoxide,1444.27106,1293.888,269.0237,114.348116,1,Releases to Air,1,Alberta,1
Tamarack Acquisition Corp.,2021,Nitrogen oxides (expressed as nitrogen dioxide),1097.45603,1028.288,965.6297,622.5664,2,Releases to Air,1,Alberta,1
Tamarack Acquisition Corp.,2021,PM10 - Particulate Matter <= 10 Micrometers,69.86101,6.511,4.9143,1.7266,1,Releases to Air,1,Alberta,1
Tamarack Acquisition Corp.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,69.86101,6.511,4.9143,1.7266,1,Releases to Air,1,Alberta,1
Tamarack Acquisition Corp.,2021,Speciated VOCs (62 substances),0,0,0,0,1,Releases to Air,1,Alberta,1
Tamarack Acquisition Corp.,2021,Sulphur dioxide,0,0,2.6224,0.1328,1,Releases to Air,1,Saskatchewan,1
Tamarack Acquisition Corp.,2021,Total particulate matter,69.86101,6.511,4.9143,1.7266,1,Releases to Air,1,Alberta,1
Tamarack Acquisition Corp.,2021,Volatile Organic Compounds (VOCs),3003.83048,1535.185,17.1314,16.509,1,Releases to Air,1,Alberta,1
Tangle Creek Energy Ltd.,2021,Carbon monoxide,78.9638,115.979,318.789985,608.0543,4,Releases to Air,1,Alberta,1
Tangle Creek Energy Ltd.,2021,Nitrogen oxides (expressed as nitrogen dioxide),75.8824,270.888,928.828194,679.0373,4,Releases to Air,1,Alberta,1
Tangle Creek Energy Ltd.,2021,PM10 - Particulate Matter <= 10 Micrometers,3.1617,3.29069,9.167435,3.7178,1,Releases to Air,1,Alberta,1
Tangle Creek Energy Ltd.,2021,PM2.5 - Particulate Matter <= 2.5 Micrometers,3.1309,3.27669,9.123028,3.7178,1,Releases to Air,1,Alberta,1
Tangle Creek Energy Ltd.,2021,Sulphur dioxide,1.4517,0.79103,2.274512,0.14,4,Releases to Air,1,Alberta,1
Tangle Creek Energy Ltd.,2021,Total particulate matter,3.3107,4.79709,11.19193,5.8407,1,Releases to Air,1,Alberta,1
